Microsoft (R) COFF/PE Dumper Version 14.42.34436.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    E7035EBA time date stamp
        0.00 version
           8 ordinal base
        2491 number of functions
        2490 number of names

    ordinal hint RVA      name

        132   7B 0002A1A0 LdrGetDllHandleEx
        133   7C 00031AC0 LdrGetDllPath
        134   7D 000D88E0 LdrGetFailureData
        135   7E 000EC0F0 LdrGetFileNameFromLoadAsDataTable
        136   7F 00087060 LdrGetKnownDllSectionHandle
        137   80 00084A40 LdrGetProcedureAddress
        138   81 00079D70 LdrGetProcedureAddressEx
        139   82 00021F30 LdrGetProcedureAddressForCaller
        140   83 000D8900 LdrHotPatchNotify
        141   84 000DBDF0 LdrInitShimEngineDynamic
        142   85 000D7580 LdrInitializeEnclave
        143   86 00074400 LdrInitializeThunk
        144   87 000D8A70 LdrIsModuleSxsRedirected
        145   88 000847B0 LdrLoadAlternateResourceModule
        146   89 0001F6D0 LdrLoadAlternateResourceModuleEx
        147   8A 0002A650 LdrLoadDll
        148   8B 000D7730 LdrLoadEnclaveModule
        149   8C 00050FB0 LdrLockLoaderLock
        150   8D 000ECBB0 LdrOpenImageFileOptionsKey
        151   8E 000743D0 LdrProcessInitializationComplete
        152   8F 000EEE10 LdrProcessRelocationBlock
        153   90 000EEE40 LdrProcessRelocationBlockEx
        154   91 0007DDD0 LdrQueryImageFileExecutionOptions
        155   92 0007DE10 LdrQueryImageFileExecutionOptionsEx
        156   93 0007DEB0 LdrQueryImageFileKeyOption
        157   94 000D8BB0 LdrQueryModuleServiceTags
        158   95 000D97D0 LdrQueryOptionalDelayLoadedAPI
        159   96 000D8CA0 LdrQueryProcessModuleInformation
        160   97 00001F30 LdrRegisterDllNotification
        161   98 00078C00 LdrRemoveDllDirectory
        162   99 00071F20 LdrRemoveLoadAsDataTable
        163   9A 000EF5A0 LdrResFindResource
        164   9B 00005150 LdrResFindResourceDirectory
        165   9C 00007B70 LdrResGetRCConfig
        166   9D 000EF620 LdrResRelease
        167   9E 000051E0 LdrResSearchResource
        168   9F 0002BE10 LdrResolveDelayLoadedAPI
        169   A0 000D9890 LdrResolveDelayLoadsFromDll
        170   A1 00029000 LdrRscIsTypeExist
        171   A2 000D90F0 LdrSetAppCompatDllRedirectionCallback
        172   A3 00078FA0 LdrSetDefaultDllDirectories
        173   A4 00078E70 LdrSetDllDirectory
        174   A5 00086AA0 LdrSetDllManifestProber
        175   A6 000D9100 LdrSetImplicitPathOptions
        176   A7 0008EA60 LdrSetMUICacheType
        177   A8 00051420 LdrShutdownProcess
        178   A9 00029260 LdrShutdownThread
        179   AA 0009E850 LdrStandardizeSystemPath
        180   AB 0019B310 LdrSystemDllInitBlock
