Microsoft (R) COFF/PE Dumper Version 14.42.34436.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    E7035EBA time date stamp
        0.00 version
           8 ordinal base
        2491 number of functions
        2490 number of names

    ordinal hint RVA      name

        565  22C 000A08F0 NtReplyWaitReceivePortEx
        566  22D 000A33E0 NtReplyWaitReplyPort
        567  22E 000A3400 NtRequestPort
        568  22F 000A07D0 NtRequestWaitReplyPort
        569  230 000A3420 NtResetEvent
        570  231 000A3440 NtResetWriteWatch
        571  232 000A3460 NtRestoreKey
        572  233 000A3480 NtResumeProcess
        573  234 000A0DD0 NtResumeThread
        574  235 000A34A0 NtRevertContainerImpersonation
        575  236 000A34C0 NtRollbackComplete
        576  237 000A34E0 NtRollbackEnlistment
        577  238 000A3500 NtRollbackRegistryTransaction
        578  239 000A3520 NtRollbackTransaction
        579  23A 000A3540 NtRollforwardTransactionManager
        580  23B 000A3560 NtSaveKey
        581  23C 000A3580 NtSaveKeyEx
        582  23D 000A35A0 NtSaveMergedKeys
        583  23E 000A35C0 NtSecureConnectPort
        584  23F 000A35E0 NtSerializeBoot
        585  240 000A3600 NtSetBootEntryOrder
        586  241 000A3620 NtSetBootOptions
        587  242 000A3640 NtSetCachedSigningLevel
        588  243 000A3660 NtSetCachedSigningLevel2
        589  244 000A3680 NtSetContextThread
        590  245 000A36A0 NtSetDebugFilterState
        591  246 000A36C0 NtSetDefaultHardErrorPort
        592  247 000A36E0 NtSetDefaultLocale
        593  248 000A3700 NtSetDefaultUILanguage
        594  249 000A3720 NtSetDriverEntryOrder
        595  24A 000A3740 NtSetEaFile
        596  24B 000A0550 NtSetEvent
        597  24C 000A0930 NtSetEventBoostPriority
        598  24D 000A3760 NtSetHighEventPair
        599  24E 000A3780 NtSetHighWaitLowEventPair
        600  24F 000A37A0 NtSetIRTimer
        601  250 000A37C0 NtSetInformationCpuPartition
        602  251 000A37E0 NtSetInformationDebugObject
        603  252 000A3800 NtSetInformationEnlistment
        604  253 000A0870 NtSetInformationFile
        605  254 000A3820 NtSetInformationIoRing
        606  255 000A3840 NtSetInformationJobObject
        607  256 000A3860 NtSetInformationKey
        608  257 000A0F00 NtSetInformationObject
        609  258 000A0710 NtSetInformationProcess
        610  259 000A3880 NtSetInformationResourceManager
        611  25A 000A38A0 NtSetInformationSymbolicLink
        612  25B 000A0530 NtSetInformationThread
        613  25C 000A38C0 NtSetInformationToken
        614  25D 000A38E0 NtSetInformationTransaction
        615  25E 000A3900 NtSetInformationTransactionManager
        616  25F 000A3920 NtSetInformationVirtualMemory
        617  260 000A3940 NtSetInformationWorkerFactory
        618  261 000A3960 NtSetIntervalProfile
        619  262 000A3980 NtSetIoCompletion
        620  263 000A39A0 NtSetIoCompletionEx
        621  264 000A39C0 NtSetLdtEntries
        622  265 000A39E0 NtSetLowEventPair
        623  266 000A3A00 NtSetLowWaitHighEventPair
        624  267 000A3A20 NtSetQuotaInformationFile
        625  268 000A3A40 NtSetSecurityObject
        626  269 000A3A60 NtSetSystemEnvironmentValue
        627  26A 000A3A80 NtSetSystemEnvironmentValueEx
        628  26B 000A3AA0 NtSetSystemInformation
        629  26C 000A3AC0 NtSetSystemPowerState
        630  26D 000A3AE0 NtSetSystemTime
        631  26E 000A3B00 NtSetThreadExecutionState
        632  26F 000A0FC0 NtSetTimer
        633  270 000A3B20 NtSetTimer2
        634  271 000A3B40 NtSetTimerEx
        635  272 000A3B60 NtSetTimerResolution
        636  273 000A3B80 NtSetUuidSeed
        637  274 000A0F80 NtSetValueKey
        638  275 000A3BA0 NtSetVolumeInformationFile
        639  276 000A3BC0 NtSetWnfProcessNotificationEvent
        640  277 000A3BE0 NtShutdownSystem
        641  278 000A3C00 NtShutdownWorkerFactory
        642  279 000A3C20 NtSignalAndWaitForSingleObject
        643  27A 000A3C40 NtSinglePhaseReject
        644  27B 000A3C60 NtStartProfile
        645  27C 000A3C80 NtStopProfile
        646  27D 000A3CA0 NtSubmitIoRing
        647  27E 000A3CC0 NtSubscribeWnfStateChange
        648  27F 000A3CE0 NtSuspendProcess
        649  280 000A3D00 NtSuspendThread
        650  281 000A3D20 NtSystemDebugControl
        651  282 000A3D40 NtTerminateEnclave
        652  283 000A3D60 NtTerminateJobObject
        653  284 000A0910 NtTerminateProcess
        654  285 000A0DF0 NtTerminateThread
        655  286 000A3D80 NtTestAlert
        656  287 000A3DA0 NtThawRegistry
        657  288 000A3DC0 NtThawTransactions
        658  289 000A3DE0 NtTraceControl
        659  28A 000A0F40 NtTraceEvent
        660  28B 000A3E00 NtTranslateFilePath
        661  28C 000A3E20 NtUmsThreadYield
        662  28D 000A3E40 NtUnloadDriver
        663  28E 000A3E60 NtUnloadKey
        664  28F 000A3E80 NtUnloadKey2
        665  290 000A3EA0 NtUnloadKeyEx
        666  291 000A3EC0 NtUnlockFile
        667  292 000A3EE0 NtUnlockVirtualMemory
        668  293 000A08D0 NtUnmapViewOfSection
        669  294 000A3F00 NtUnmapViewOfSectionEx
        670  295 000A3F20 NtUnsubscribeWnfStateChange
        671  296 000A3F40 NtUpdateWnfStateData
        672  297 000A3F60 NtVdmControl
        673  298 000A3F80 NtWaitForAlertByThreadId
        674  299 000A3FA0 NtWaitForDebugEvent
        675  29A 000A3FC0 NtWaitForKeyedEvent
        676  29B 000A0EE0 NtWaitForMultipleObjects
        677  29C 000A06D0 NtWaitForMultipleObjects32
        678  29D 000A0410 NtWaitForSingleObject
        679  29E 000A3FE0 NtWaitForWorkViaWorkerFactory
        680  29F 000A4000 NtWaitHighEventPair
        681  2A0 000A4020 NtWaitLowEventPair
        682  2A1 000A03B0 NtWorkerFactoryWorkerReady
        683  2A2 000A0490 NtWriteFile
        684  2A3 000A06F0 NtWriteFileGather
        685  2A4 000A0E70 NtWriteRequestData
        686  2A5 000A0AD0 NtWriteVirtualMemory
        687  2A6 000A0C50 NtYieldExecution
        688  2A7 000A0060 NtdllDefWindowProc_A
        689  2A8 000A0070 NtdllDefWindowProc_W
        690  2A9 000A0120 NtdllDialogWndProc_A
        691  2AA 000A0130 NtdllDialogWndProc_W
        692  2AB 000F1350 PfxFindPrefix
        693  2AC 000F1430 PfxInitialize
        694  2AD 000F1450 PfxInsertPrefix
        695  2AE 000F1570 PfxRemovePrefix
        696  2AF 00127C90 PssNtCaptureSnapshot
        697  2B0 00128160 PssNtDuplicateSnapshot
        698  2B1 001281E0 PssNtFreeRemoteSnapshot
        699  2B2 001283F0 PssNtFreeSnapshot
        700  2B3 00128580 PssNtFreeWalkMarker
        701  2B4 001285C0 PssNtQuerySnapshot
        702  2B5 00128870 PssNtValidateDescriptor
        703  2B6 00128A00 PssNtWalkSnapshot
        704  2B7 00080120 RtlAbortRXact
        705  2B8 0006CDA0 RtlAbsoluteToSelfRelativeSD
        706  2B9 000800D0 RtlAcquirePebLock
        707  2BA 00079370 RtlAcquirePrivilege
        708  2BB 000812B0 RtlAcquireReleaseSRWLockExclusive
        709  2BC 00060240 RtlAcquireResourceExclusive
        710  2BD 00060120 RtlAcquireResourceShared
        711  2BE 00037D00 RtlAcquireSRWLockExclusive
        712  2BF 00026D30 RtlAcquireSRWLockShared
        713  2C0 000754A0 RtlActivateActivationContext
        714  2C1 000754F0 RtlActivateActivationContextEx
        715  2C2 00028A60 RtlActivateActivationContextUnsafeFast
        716  2C3 0007B320 RtlAddAccessAllowedAce
        717  2C4 0007DBD0 RtlAddAccessAllowedAceEx
        718  2C5 000F45E0 RtlAddAccessAllowedObjectAce
        719  2C6 0008D740 RtlAddAccessDeniedAce
        720  2C7 000886F0 RtlAddAccessDeniedAceEx
        721  2C8 000F4650 RtlAddAccessDeniedObjectAce
        722  2C9 000F46C0 RtlAddAccessFilterAce
        723  2CA 000689E0 RtlAddAce
        724  2CB 0008C450 RtlAddActionToRXact
        725  2CC 00003710 RtlAddAtomToAtomTable
        726  2CD 00080CB0 RtlAddAttributeActionToRXact
        727  2CE 0008DE80 RtlAddAuditAccessAce
        728  2CF 0008D5A0 RtlAddAuditAccessAceEx
        729  2D0 000F48D0 RtlAddAuditAccessObjectAce
        730  2D1 000F4940 RtlAddCompoundAce
        731  2D2 000EB9D0 RtlAddFunctionTable
        732  2D3 000727C0 RtlAddGrowableFunctionTable
        733  2D4 000F6390 RtlAddIntegrityLabelToBoundaryDescriptor
        734  2D5 00068FF0 RtlAddMandatoryAce
        735  2D6 00068560 RtlAddProcessTrustLabelAce
        736  2D7 00033B80 RtlAddRefActivationContext
        737  2D8 000E1350 RtlAddRefMemoryStream
        738  2D9 000F4AB0 RtlAddResourceAttributeAce
        739  2DA 00084090 RtlAddSIDToBoundaryDescriptor
        740  2DB 000F4E00 RtlAddScopedPolicyIDAce
        741  2DC 000AF290 RtlAddVectoredContinueHandler
        742  2DD 00084B40 RtlAddVectoredExceptionHandler
        743  2DE 0002B070 RtlAddressInSectionTable
        744  2DF 0007E140 RtlAdjustPrivilege
        745  2E0 00073DA0 RtlAllocateActivationContextStack
        746  2E1 0006DEA0 RtlAllocateAndInitializeSid
        747  2E2 0008DDC0 RtlAllocateAndInitializeSidEx
        748  2E3 00003DC0 RtlAllocateHandle
        749  2E4 0003CB00 RtlAllocateHeap
        750  2E5 00130010 RtlAllocateMemoryBlockLookaside
        751  2E6 001300F0 RtlAllocateMemoryZone
        752  2E7 00086A80 RtlAllocateWnfSerializationGroup
        753  2E8 0005F950 RtlAnsiCharToUnicodeChar
        754  2E9 00018AC0 RtlAnsiStringToUnicodeSize
        755  2EA 00024E70 RtlAnsiStringToUnicodeString
        756  2EB 000F69F0 RtlAppendAsciizToString
        757  2EC 000D6000 RtlAppendPathElement
        758  2ED 000F6A60 RtlAppendStringToString
        759  2EE 000192A0 RtlAppendUnicodeStringToString
        760  2EF 0000B390 RtlAppendUnicodeToString
        761  2F0 000E6C30 RtlApplicationVerifierStop
        762  2F1 000F1640 RtlApplyRXact
        763  2F2 000800F0 RtlApplyRXactNoFlush
        764  2F3 000D5B80 RtlAppxIsFileOwnedByTrustedInstaller
        765  2F4 00080780 RtlAreAllAccessesGranted
        766  2F5 000F16F0 RtlAreAnyAccessesGranted
        767  2F6 000F6B30 RtlAreBitsClear
        768  2F7 000F6C10 RtlAreBitsClearEx
        769  2F8 0007FD20 RtlAreBitsSet
        770  2F9 0007B690 RtlAreLongPathsEnabled
        771  2FA 000F94A0 RtlAssert
        772  2FB 00072A40 RtlAvlInsertNodeEx
        773  2FC 000723F0 RtlAvlRemoveNode
        774  2FD 000F95D0 RtlBarrier
        775  2FE 000F95E0 RtlBarrierForDelete
        776  2FF 000A4550 RtlCallEnclave
        777  300 000A45BB RtlCallEnclaveReturn
        778  301 00127210 RtlCancelTimer
        779  302 0000D340 RtlCanonicalizeDomainName
        780  303 00011710 RtlCapabilityCheck
        781  304 00089980 RtlCapabilityCheckForSingleSessionSku
        782  305 000A46B0 RtlCaptureContext
        783  306 000A47F0 RtlCaptureContext2
        784  307 0007A300 RtlCaptureStackBackTrace
        785  308 00072FF0 RtlCharToInteger
        786  309 000F9B10 RtlCheckBootStatusIntegrity
        787  30A 000816C0 RtlCheckForOrphanedCriticalSections
        788  30B 00088AF0 RtlCheckPortableOperatingSystem
        789  30C 00008BB0 RtlCheckRegistryKey
        790  30D 000893A0 RtlCheckSandboxedToken
        791  30E 000F9C70 RtlCheckSystemBootStatusIntegrity
        792  30F 000184E0 RtlCheckTokenCapability
        793  310 000F1700 RtlCheckTokenMembership
        794  311 00014300 RtlCheckTokenMembershipEx
        795  312 00011640 RtlCleanUpTEBLangLists
        796  313 0007A200 RtlClearAllBits
        797  314 000F6CF0 RtlClearAllBitsEx
        798  315 0008A3A0 RtlClearBit
        799  316 000F6D20 RtlClearBitEx
        800  317 00008220 RtlClearBits
        801  318 000F6D40 RtlClearBitsEx
        802  319 00035510 RtlClearThreadWorkOnBehalfTicket
        803  31A 000E1360 RtlCloneMemoryStream
        804  31B 000E1DF0 RtlCloneUserProcess
        805  31C 000FD770 RtlCmDecodeMemIoResource
        806  31D 000FD7E0 RtlCmEncodeMemIoResource
        807  31E 000E29B0 RtlCommitDebugInfo
        808  31F 000E1370 RtlCommitMemoryStream
        809  320 000FDBE0 RtlCompactHeap
        810  321 00101390 RtlCompareAltitudes
        811  322 00101590 RtlCompareExchangePointerMapping
        812  323 001016E0 RtlCompareExchangePropertyStore
        813  324 000A4F00 RtlCompareMemory
        814  325 000A4F80 RtlCompareMemoryUlong
        815  326 0008DB40 RtlCompareString
        816  327 00014A20 RtlCompareUnicodeString
        817  328 00014900 RtlCompareUnicodeStrings
        818  329 0009E860 RtlCompleteProcessCloning
        819  32A 000846C0 RtlCompressBuffer
        820  32B 00052A00 RtlComputeCrc32
        821  32C 000EB5C0 RtlComputeImportTableHash
        822  32D 000E0FD0 RtlComputePrivatizedDllName_U
        823  32E 00088EA0 RtlConnectToSm
        824  32F 000F07A0 RtlConsoleMultiByteToUnicodeN
        825  330 00101E90 RtlConstructCrossVmEventPath
        826  331 00101E90 RtlConstructCrossVmMutexPath
        827  332 00085010 RtlContractHashTable
        828  333 00078550 RtlConvertDeviceFamilyInfoToString
        829  334 00088400 RtlConvertExclusiveToShared
        830  335 0008A3D0 RtlConvertHostPerfCounterToPerfCounter
        831  336 000FA9D0 RtlConvertLCIDToString
        832  337 000888E0 RtlConvertSRWLockExclusiveToShared
        833  338 0007FB70 RtlConvertSharedToExclusive
        834  339 0001ACF0 RtlConvertSidToUnicodeString
        835  33A 000E2350 RtlConvertToAutoInheritSecurityObject
        836  33B 000F6E00 RtlCopyBitMap
        837  33C 00054490 RtlCopyContext
        838  33D 00102040 RtlCopyExtendedContext
        839  33E 0007E0C0 RtlCopyLuid
        840  33F 000F1720 RtlCopyLuidAndAttributesArray
        841  340 00086870 RtlCopyMappedMemory
        842  341 000A6F00 RtlCopyMemory
        843  342 000A4FB0 RtlCopyMemoryNonTemporal
        844  343 000E1380 RtlCopyMemoryStreamTo
        845  344 000E1380 RtlCopyOutOfProcessMemoryStreamTo
        846  345 0006CB20 RtlCopySecurityDescriptor
        847  346 00069170 RtlCopySid
        848  347 000F1760 RtlCopySidAndAttributesArray
        849  348 00088A70 RtlCopyString
        850  349 0002D610 RtlCopyUnicodeString
        851  34A 000865F0 RtlCrc32
        852  34B 00102800 RtlCrc64
        853  34C 00018490 RtlCreateAcl
        854  34D 00075FC0 RtlCreateActivationContext
        855  34E 000686F0 RtlCreateAndSetSD
        856  34F 00003290 RtlCreateAtomTable
        857  350 000F9CD0 RtlCreateBootStatusDataFile
        858  351 00085DB0 RtlCreateBoundaryDescriptor
        859  352 00058380 RtlCreateEnvironment
        860  353 000583A0 RtlCreateEnvironmentEx
        861  354 00076C70 RtlCreateHashTable
        862  355 0008CE40 RtlCreateHashTableEx
        863  356 00047F50 RtlCreateHeap
        864  357 000807D0 RtlCreateMemoryBlockLookaside
        865  358 000809A0 RtlCreateMemoryZone
        866  359 000E2080 RtlCreateProcessParameters
        867  35A 00057BE0 RtlCreateProcessParametersEx
        868  35B 00057C60 RtlCreateProcessParametersWithTemplate
        869  35C 000E14D0 RtlCreateProcessReflection
        870  35D 000024B0 RtlCreateQueryDebugBuffer
        871  35E 000FA5A0 RtlCreateRegistryKey
        872  35F 000145E0 RtlCreateSecurityDescriptor
        873  360 00010070 RtlCreateServiceSid
        874  361 0006C300 RtlCreateSystemVolumeInformationFolder
        875  362 0007FFA0 RtlCreateTagHeap
        876  363 0004D330 RtlCreateTimer
        877  364 000505D0 RtlCreateTimerQueue
        878  365 00103510 RtlCreateUmsCompletionList
        879  366 00103520 RtlCreateUmsThreadContext
        880  367 0000E950 RtlCreateUnicodeString
        881  368 0006B420 RtlCreateUnicodeStringFromAsciiz
        882  369 000ECA70 RtlCreateUserFiberShadowStack
        883  36A 000ECAF0 RtlCreateUserProcess
        884  36B 00087B00 RtlCreateUserProcessEx
        885  36C 000E2360 RtlCreateUserSecurityObject
        886  36D 00082740 RtlCreateUserStack
        887  36E 0005C200 RtlCreateUserThread
        888  36F 000862B0 RtlCreateVirtualAccountSid
        889  370 000164F0 RtlCultureNameToLCID
        890  371 00059020 RtlCustomCPToUnicodeN
        891  372 00059150 RtlCutoverTimeToSystemTime
        892  373 000E29C0 RtlDeCommitDebugInfo
        893  374 000E20F0 RtlDeNormalizeProcessParams
        894  375 00073FA0 RtlDeactivateActivationContext
        895  376 00026A60 RtlDeactivateActivationContextUnsafeFast
        896  377 000898E0 RtlDebugPrintTimes
        897  378 0006DE60 RtlDecodePointer
        898  379 000E72F0 RtlDecodeRemotePointer
        899  37A 00087180 RtlDecodeSystemPointer
        900  37B 00101C40 RtlDecompressBuffer
        901  37C 000824A0 RtlDecompressBufferEx
        902  37D 00101CE0 RtlDecompressFragment
        903  37E 000019D0 RtlDefaultNpAcl
        904  37F 00055650 RtlDelayExecution
        905  380 00062F80 RtlDelete
        906  381 0007C460 RtlDeleteAce
        907  382 00003660 RtlDeleteAtomFromAtomTable
        908  383 000F9600 RtlDeleteBarrier
        909  384 000395C0 RtlDeleteBoundaryDescriptor
        910  385 0005AC50 RtlDeleteCriticalSection
        911  386 00062A70 RtlDeleteElementGenericTable
        912  387 0006ACF0 RtlDeleteElementGenericTableAvl
        913  388 0006AF90 RtlDeleteElementGenericTableAvlEx
        914  389 0008CBD0 RtlDeleteFunctionTable
        915  38A 00072270 RtlDeleteGrowableFunctionTable
        916  38B 0007B970 RtlDeleteHashTable
        917  38C 000629C0 RtlDeleteNoSplay
        918  38D 0008D770 RtlDeleteRegistryValue
        919  38E 0005ABC0 RtlDeleteResource
        920  38F 00080C20 RtlDeleteSecurityObject
        921  390 0004D190 RtlDeleteTimer
        922  391 00127220 RtlDeleteTimerQueue
        923  392 00051C40 RtlDeleteTimerQueueEx
        924  393 00103530 RtlDeleteUmsCompletionList
        925  394 00103540 RtlDeleteUmsThreadContext
        926  395 00103550 RtlDequeueUmsCompletionListItems
        927  396 00103910 RtlDeregisterSecureMemoryCacheCallback
        928  397 00089330 RtlDeregisterWait
        929  398 0004C7F0 RtlDeregisterWaitEx
        930  399 0002AC60 RtlDeriveCapabilitySidsFromName
        931  39A 0008C310 RtlDestroyAtomTable
        932  39B 000830A0 RtlDestroyEnvironment
        933  39C 00089300 RtlDestroyHandleTable
        934  39D 000494D0 RtlDestroyHeap
        935  39E 00089230 RtlDestroyMemoryBlockLookaside
        936  39F 00089290 RtlDestroyMemoryZone
        937  3A0 00085F00 RtlDestroyProcessParameters
        938  3A1 00002700 RtlDestroyQueryDebugBuffer
        939  3A2 000518B0 RtlDetectHeapLeaks
        940  3A3 00079210 RtlDetermineDosPathNameType_U
        941  3A4 000D5D00 RtlDisableThreadProfiling
        942  3A5 000817F0 RtlDisownModuleHeapAllocation
        943  3A6 0004FC30 RtlDllShutdownInProgress
        944  3A7 0008C880 RtlDnsHostNameToComputerName
        945  3A8 000897E0 RtlDoesFileExists_U
        946  3A9 00108220 RtlDoesNameContainWildCards
        947  3AA 0001B530 RtlDosApplyFileIsolationRedirection_Ustr
        948  3AB 000AE760 RtlDosLongPathNameToNtPathName_U_WithStatus
        949  3AC 000D6260 RtlDosLongPathNameToRelativeNtPathName_U_WithStatus
        950  3AD 00078300 RtlDosPathNameToNtPathName_U
        951  3AE 00078150 RtlDosPathNameToNtPathName_U_WithStatus
        952  3AF 000087E0 RtlDosPathNameToRelativeNtPathName_U
        953  3B0 0001BAE0 RtlDosPathNameToRelativeNtPathName_U_WithStatus
        954  3B1 00078FE0 RtlDosSearchPath_U
        955  3B2 0001A350 RtlDosSearchPath_Ustr
        956  3B3 000AF740 RtlDowncaseUnicodeChar
        957  3B4 00074280 RtlDowncaseUnicodeString
        958  3B5 00108A80 RtlDrainNonVolatileFlush
        959  3B6 000F3F30 RtlDumpResource
        960  3B7 0007E9A0 RtlDuplicateUnicodeString
        961  3B8 0008C3D0 RtlEmptyAtomTable
        962  3B9 000F3F90 RtlEnableEarlyCriticalSectionEventCreation
        963  3BA 000D5D70 RtlEnableThreadProfiling
        964  3BB 000A44E0 RtlEnclaveCallDispatch
        965  3BC 000A4511 RtlEnclaveCallDispatchReturn
        966  3BD 00073D60 RtlEncodePointer
        967  3BE 000E7360 RtlEncodeRemotePointer
        968  3BF 000871C0 RtlEncodeSystemPointer
        969  3C0 00084550 RtlEndEnumerationHashTable
        970  3C1 0008CE50 RtlEndStrongEnumerationHashTable
        971  3C2 00102010 RtlEndWeakEnumerationHashTable
        972  3C3 00021AB0 RtlEnterCriticalSection
        973  3C4 00103560 RtlEnterUmsSchedulingMode
        974  3C5 000FDF00 RtlEnumProcessHeaps
        975  3C6 0006D280 RtlEnumerateEntryHashTable
        976  3C7 00062950 RtlEnumerateGenericTable
        977  3C8 00063470 RtlEnumerateGenericTableAvl
        978  3C9 001036B0 RtlEnumerateGenericTableLikeADirectory
        979  3CA 00063180 RtlEnumerateGenericTableWithoutSplaying
        980  3CB 00063490 RtlEnumerateGenericTableWithoutSplayingAvl
        981  3CC 000F6610 RtlEqualComputerName
        982  3CD 0000D2C0 RtlEqualDomainName
        983  3CE 000F1820 RtlEqualLuid
        984  3CF 00016AF0 RtlEqualPrefixSid
        985  3D0 000107E0 RtlEqualSid
        986  3D1 000834B0 RtlEqualString
        987  3D2 00029BF0 RtlEqualUnicodeString
        988  3D3 00089700 RtlEqualWnfChangeStamps
        989  3D4 00089830 RtlEraseUnicodeString
        990  3D5 00108B40 RtlEthernetAddressToStringA
        991  3D6 00108BB0 RtlEthernetAddressToStringW
        992  3D7 00108C20 RtlEthernetStringToAddressA
        993  3D8 00108D60 RtlEthernetStringToAddressW
        994  3D9 00103540 RtlExecuteUmsThread
        995  3DA 000510E0 RtlExitUserProcess
        996  3DB 0005AF70 RtlExitUserThread
        997  3DC 000599B0 RtlExpandEnvironmentStrings
        998  3DD 00059930 RtlExpandEnvironmentStrings_U
        999  3DE 000899F0 RtlExpandHashTable
       1000  3DF 00108EB0 RtlExtendCorrelationVector
       1001  3E0 000F6420 RtlExtendMemoryBlockLookaside
       1002  3E1 000F64A0 RtlExtendMemoryZone
       1003  3E2 000F7010 RtlExtractBitMap
       1004  3E3 00109380 RtlFillMemory
       1005  3E4 000A50F0 RtlFillMemoryNonTemporal
       1006  3E5 001093A0 RtlFillNonVolatileMemory
       1007  3E6 000E1390 RtlFinalReleaseOutOfProcessMemoryStream
       1008  3E7 000154C0 RtlFindAceByType
       1009  3E8 0001B340 RtlFindActivationContextSectionGuid
       1010  3E9 0001D3A0 RtlFindActivationContextSectionString
       1011  3EA 0001DDF0 RtlFindCharInUnicodeString
       1012  3EB 000F71B0 RtlFindClearBits
       1013  3EC 00004D10 RtlFindClearBitsAndSet
       1014  3ED 000F7500 RtlFindClearBitsAndSetEx
       1015  3EE 000F7850 RtlFindClearBitsEx
       1016  3EF 000F7B70 RtlFindClearRuns
       1017  3F0 000FD8C0 RtlFindClosestEncodableLength
       1018  3F1 0007B6B0 RtlFindExportedRoutineByName
       1019  3F2 0007E3A0 RtlFindLastBackwardRunClear
       1020  3F3 00088300 RtlFindLeastSignificantBit
       1021  3F4 000F7E50 RtlFindLongestRunClear
       1022  3F5 0002AB40 RtlFindMessage
       1023  3F6 00088720 RtlFindMostSignificantBit
       1024  3F7 000F7EA0 RtlFindNextForwardRunClear
       1025  3F8 00002DB0 RtlFindSetBits
       1026  3F9 000F7FA0 RtlFindSetBitsAndClear
       1027  3FA 000F8340 RtlFindSetBitsAndClearEx
       1028  3FB 000F86D0 RtlFindSetBitsEx
       1029  3FC 000867A0 RtlFindUnicodeSubstring
       1030  3FD 000A4110 RtlFirstEntrySList
       1031  3FE 0001B0F0 RtlFirstFreeAce
       1032  3FF 00074750 RtlFlsAlloc
       1033  400 000718C0 RtlFlsFree
       1034  401 000576C0 RtlFlsGetValue
       1035  402 00052820 RtlFlsSetValue
       1036  403 00077930 RtlFlushHeaps
       1037  404 00108AB0 RtlFlushNonVolatileMemory
       1038  405 00109450 RtlFlushNonVolatileMemoryRanges
       1039  406 001039D0 RtlFlushSecureMemoryCache
       1040  407 0001AAD0 RtlFormatCurrentUserKeyPath
       1041  408 0008EB60 RtlFormatMessage
       1042  409 00053B40 RtlFormatMessageEx
       1043  40A 00073EC0 RtlFreeActivationContextStack
       1044  40B 000807A0 RtlFreeAnsiString
       1045  40C 00003FD0 RtlFreeHandle
       1046  40D 0003AFB0 RtlFreeHeap
       1047  40E 00130150 RtlFreeMemoryBlockLookaside
       1048  40F 001094E0 RtlFreeNonVolatileToken
       1049  410 0008D720 RtlFreeOemString
       1050  411 00076C30 RtlFreeSid
       1051  412 00073E20 RtlFreeThreadActivationContextStack
       1052  413 000F6620 RtlFreeUTF8String
       1053  414 0000E920 RtlFreeUnicodeString
       1054  415 000ECB80 RtlFreeUserFiberShadowStack
       1055  416 00087AC0 RtlFreeUserStack
       1056  417 0006EB30 RtlGUIDFromString
       1057  418 00109790 RtlGenerate8dot3Name
       1058  419 0006CAC0 RtlGetAce
       1059  41A 00077370 RtlGetActiveActivationContext
       1060  41B 00085F30 RtlGetActiveConsoleId
       1061  41C 0000A9A0 RtlGetAppContainerNamedObjectPath
       1062  41D 000F1840 RtlGetAppContainerParent
       1063  41E 0000AC40 RtlGetAppContainerSidType
       1064  41F 000F9760 RtlGetCallersAddress
       1065  420 000849E0 RtlGetCompressionWorkSpaceSize
       1066  421 00109EE0 RtlGetConsoleSessionForegroundProcessId
       1067  422 0007E880 RtlGetControlSecurityDescriptor
       1068  423 000F3FC0 RtlGetCriticalSectionRecursionCount
       1069  424 0007BC70 RtlGetCurrentDirectory_U
       1070  425 00002D60 RtlGetCurrentPeb
       1071  426 000A51F0 RtlGetCurrentProcessorNumber
       1072  427 000A5240 RtlGetCurrentProcessorNumberEx
       1073  428 0003B0A0 RtlGetCurrentServiceSessionId
       1074  429 00070ED0 RtlGetCurrentTransaction
       1075  42A 00103570 RtlGetCurrentUmsThread
       1076  42B 0006CA60 RtlGetDaclSecurityDescriptor
       1077  42C 00078630 RtlGetDeviceFamilyInfoEnum
       1078  42D 00081970 RtlGetElementGenericTable
       1079  42E 001037E0 RtlGetElementGenericTableAvl
       1080  42F 00085400 RtlGetEnabledExtendedFeatures
       1081  430 00083F20 RtlGetExePath
       1082  431 00054770 RtlGetExtendedContextLength
       1083  432 00054B20 RtlGetExtendedContextLength2
       1084  433 00102070 RtlGetExtendedFeaturesMask
       1085  434 0009ECC0 RtlGetFeatureToggleConfiguration
       1086  435 0009EE00 RtlGetFeatureTogglesChangeToken
       1087  436 00009520 RtlGetFileMUIPath
       1088  437 00088840 RtlGetFrame
       1089  438 00083FB0 RtlGetFullPathName_U
       1090  439 00019340 RtlGetFullPathName_UEx
       1091  43A 000193D0 RtlGetFullPathName_UstrEx
       1092  43B 000EBCD0 RtlGetFunctionTableListHead
       1093  43C 0007FA50 RtlGetGroupSecurityDescriptor
       1094  43D 000835B0 RtlGetImageFileMachines
       1095  43E 00003BF0 RtlGetIntegerAtom
       1096  43F 0007E6F0 RtlGetInterruptTimePrecise
       1097  440 00080B10 RtlGetLastNtStatus
       1098  441 000AFFF0 RtlGetLastWin32Error
       1099  442 00077CE0 RtlGetLengthWithoutLastFullDosOrNtPathElement
       1100  443 000889E0 RtlGetLengthWithoutTrailingPathSeperators
       1101  444 0007FE30 RtlGetLocaleFileMappingAddress
       1102  445 00088C50 RtlGetLongestNtPathLength
       1103  446 0007E570 RtlGetMultiTimePrecise
       1104  447 000A0A50 RtlGetNativeSystemInformation
       1105  448 0007D5D0 RtlGetNextEntryHashTable
       1106  449 00103590 RtlGetNextUmsListItem
       1107  44A 00109500 RtlGetNonVolatileToken
